,Unnamed: 0,Elapsed Time,Date,System UTC Time,Time,Groundspeed,Airspeed(Ind),Airspeed(True),Fuel Weight,Gross Weight,Fuel Flow-[0],Fuel Flow-[1],Fuel Pressure-[0],Fuel Pressure-[1],Oil Pressure-[0],Oil Pressure-[1],Oil Temp,Engine Temp-[0],Engine Temp-[1],Engine Torque (N1),Engine Torque (N2),Engine speeds (N1)-[0],Engine speeds (N1)-[1],Engine speeds (N2)-[0],Engine speeds (N2)-[1],Engine speeds (NP2)-[0],Engine speeds (NP2)-[1],Engine speeds (NP1)-[0],Engine speeds (NP1)-[1],Rotor RPM-[0],Rotor RPM Value-[0],Rotor RPM Value-[1],Rotor Torque-[0],T5 Temp ITT-[0],T5 Temp ITT-[1],Unnamed: 34,image_path
10,5430,957.138,01/01/2022,18:46:25.9,1040.369 ,220.325 ,111,220.325 ,913.999 ,9106.892 ,0.074 ,0.074 ,30.000 ,30.000 ,113.067 ,113.067 ,32.000 ,1104.590 ,1104.590 ,0.000 ,0.000 ,93.443 ,93.443 ,100.108 ,100.108 ,107.116 ,107.116 ,107.116 ,107.116 ,107.116 ,32.813 ,193.018 ,48.407 ,595.884 ,595.884 ,,20_2022-01-01 13-30-31.mp4.jpeg
11,5434,957.828,01/01/2022,18:46:26.6,1041.058 ,221.473 ,112,221.473 ,913.999 ,9106.892 ,0.073 ,0.073 ,30.000 ,30.000 ,113.018 ,113.018 ,32.000 ,1101.575 ,1101.575 ,0.000 ,0.000 ,93.280 ,93.280 ,100.179 ,100.179 ,107.192 ,107.192 ,107.192 ,107.192 ,107.192 ,32.837 ,193.157 ,47.748 ,594.208 ,594.208 ,,22_2022-01-01 13-30-31.mp4.jpeg
12,5436,958.164,01/01/2022,18:46:26.9,1041.394 ,221.996 ,112,221.996 ,913.999 ,9106.892 ,0.073 ,0.073 ,30.000 ,30.000 ,112.985 ,112.985 ,32.000 ,1099.570 ,1099.570 ,0.000 ,0.000 ,93.173 ,93.173 ,100.222 ,100.222 ,107.237 ,107.237 ,107.237 ,107.237 ,107.237 ,32.851 ,193.239 ,47.320 ,593.094 ,593.094 ,,23_2022-01-01 13-30-31.mp4.jpeg
13,5438,958.516,01/01/2022,18:46:27.3,1041.746 ,222.514 ,112,222.514 ,913.999 ,9106.892 ,0.072 ,0.072 ,30.000 ,30.000 ,112.944 ,112.944 ,32.000 ,1097.008 ,1097.008 ,0.000 ,0.000 ,93.035 ,93.035 ,100.275 ,100.275 ,107.295 ,107.295 ,107.295 ,107.295 ,107.295 ,32.868 ,193.343 ,46.770 ,591.671 ,591.671 ,,24_2022-01-01 13-30-31.mp4.jpeg
14,5440,958.868,01/01/2022,18:46:27.6,1042.098 ,223.003 ,112,223.003 ,913.999 ,9106.892 ,0.071 ,0.071 ,30.000 ,30.000 ,112.895 ,112.895 ,32.000 ,1094.042 ,1094.042 ,0.000 ,0.000 ,92.876 ,92.876 ,100.322 ,100.322 ,107.344 ,107.344 ,107.344 ,107.344 ,107.344 ,32.883 ,193.432 ,46.168 ,590.023 ,590.023 ,,25_2022-01-01 13-30-31.mp4.jpeg
15,5444,959.565,01/01/2022,18:46:28.3,1042.796 ,223.871 ,113,223.872 ,913.999 ,9106.892 ,0.070 ,0.070 ,30.000 ,30.000 ,112.787 ,112.787 ,32.000 ,1087.327 ,1087.327 ,0.000 ,0.000 ,92.519 ,92.519 ,100.408 ,100.408 ,107.437 ,107.437 ,107.437 ,107.437 ,107.437 ,32.912 ,193.598 ,44.821 ,586.293 ,586.293 ,,27_2022-01-01 13-30-31.mp4.jpeg
16,5447,960.108,01/01/2022,18:46:28.9,1043.338 ,224.454 ,113,224.454 ,913.999 ,9106.892 ,0.069 ,0.069 ,30.000 ,30.000 ,112.690 ,112.690 ,32.000 ,1081.418 ,1081.418 ,0.000 ,0.000 ,92.202 ,92.202 ,100.469 ,100.469 ,107.501 ,107.501 ,107.501 ,107.501 ,107.501 ,32.932 ,193.715 ,43.642 ,583.010 ,583.010 ,,29_2022-01-01 13-30-31.mp4.jpeg
17,5447,960.108,01/01/2022,18:46:28.9,1043.338 ,224.454 ,113,224.454 ,913.999 ,9106.892 ,0.069 ,0.069 ,30.000 ,30.000 ,112.690 ,112.690 ,32.000 ,1081.418 ,1081.418 ,0.000 ,0.000 ,92.202 ,92.202 ,100.469 ,100.469 ,107.501 ,107.501 ,107.501 ,107.501 ,107.501 ,32.932 ,193.715 ,43.642 ,583.010 ,583.010 ,,5_2022-01-01 13-30-31.mp4.jpeg
18,5451,960.804,01/01/2022,18:46:29.6,1044.034 ,225.073 ,114,225.073 ,913.999 ,9106.892 ,0.067 ,0.067 ,30.000 ,30.000 ,112.551 ,112.551 ,32.000 ,1072.998 ,1072.998 ,0.000 ,0.000 ,91.745 ,91.745 ,100.535 ,100.535 ,107.573 ,107.573 ,107.573 ,107.573 ,107.573 ,32.953 ,193.840 ,42.030 ,578.332 ,578.332 ,,31_2022-01-01 13-30-31.mp4.jpeg
19,5453,961.169,01/01/2022,18:46:29.9,1044.400 ,225.341 ,114,225.341 ,913.999 ,9106.892 ,0.066 ,0.066 ,30.000 ,30.000 ,112.478 ,112.478 ,32.000 ,1068.638 ,1068.638 ,0.000 ,0.000 ,91.509 ,91.509 ,100.546 ,100.546 ,107.584 ,107.584 ,107.584 ,107.584 ,107.584 ,32.956 ,193.862 ,41.203 ,575.910 ,575.910 ,,32_2022-01-01 13-30-31.mp4.jpeg
20,5455,961.513,01/01/2022,18:46:30.3,1044.743 ,225.559 ,114,225.559 ,913.999 ,9106.892 ,0.065 ,0.065 ,30.000 ,30.000 ,112.409 ,112.409 ,32.000 ,1064.525 ,1064.525 ,0.000 ,0.000 ,91.284 ,91.284 ,100.556 ,100.556 ,107.595 ,107.595 ,107.595 ,107.595 ,107.595 ,32.959 ,193.879 ,40.438 ,573.625 ,573.625 ,,33_2022-01-01 13-30-31.mp4.jpeg
21,5457,961.860,01/01/2022,18:46:30.6,1045.090 ,225.741 ,114,225.741 ,913.999 ,9106.892 ,0.064 ,0.064 ,30.000 ,30.000 ,112.342 ,112.342 ,32.000 ,1060.580 ,1060.580 ,0.000 ,0.000 ,91.066 ,91.066 ,100.555 ,100.555 ,107.594 ,107.594 ,107.594 ,107.594 ,107.594 ,32.959 ,193.878 ,39.702 ,571.433 ,571.433 ,,34_2022-01-01 13-30-31.mp4.jpeg
22,5461,962.558,01/01/2022,18:46:31.3,1045.788 ,226.010 ,114,226.010 ,913.999 ,9106.892 ,0.062 ,0.062 ,30.000 ,30.000 ,112.205 ,112.205 ,32.000 ,1052.716 ,1052.716 ,0.000 ,0.000 ,90.624 ,90.624 ,100.558 ,100.558 ,107.597 ,107.597 ,107.597 ,107.597 ,107.597 ,32.960 ,193.884 ,38.196 ,567.064 ,567.064 ,,36_2022-01-01 13-30-31.mp4.jpeg
23,5470,964.110,01/01/2022,18:46:32.9,1047.341 ,226.142 ,115,226.142 ,913.999 ,9106.892 ,0.059 ,0.059 ,30.000 ,30.000 ,111.900 ,111.900 ,32.000 ,1035.979 ,1035.979 ,0.000 ,0.000 ,89.642 ,89.642 ,100.554 ,100.554 ,107.593 ,107.593 ,107.593 ,107.593 ,107.593 ,32.959 ,193.876 ,35.061 ,557.766 ,557.766 ,,41_2022-01-01 13-30-31.mp4.jpeg
24,5474,964.816,01/01/2022,18:46:33.6,1048.047 ,225.997 ,115,225.997 ,913.999 ,9106.892 ,0.057 ,0.057 ,30.000 ,30.000 ,111.758 ,111.758 ,32.000 ,1028.543 ,1028.543 ,0.000 ,0.000 ,89.186 ,89.186 ,100.560 ,100.560 ,107.600 ,107.600 ,107.600 ,107.600 ,107.600 ,32.961 ,193.888 ,33.632 ,553.635 ,553.635 ,,43_2022-01-01 13-30-31.mp4.jpeg
25,5476,965.174,01/01/2022,18:46:33.9,1048.404 ,225.878 ,115,225.878 ,913.999 ,9106.892 ,0.057 ,0.057 ,30.000 ,30.000 ,111.685 ,111.685 ,32.000 ,1024.844 ,1024.844 ,0.000 ,0.000 ,88.955 ,88.955 ,100.558 ,100.558 ,107.597 ,107.597 ,107.597 ,107.597 ,107.597 ,32.960 ,193.883 ,32.935 ,551.580 ,551.580 ,,44_2022-01-01 13-30-31.mp4.jpeg
26,5478,965.523,01/01/2022,18:46:34.3,1048.754 ,225.732 ,115,225.732 ,913.999 ,9106.892 ,0.056 ,0.056 ,30.000 ,30.000 ,111.615 ,111.615 ,32.000 ,1021.309 ,1021.309 ,0.000 ,0.000 ,88.732 ,88.732 ,100.555 ,100.555 ,107.594 ,107.594 ,107.594 ,107.594 ,107.594 ,32.959 ,193.878 ,32.248 ,549.616 ,549.616 ,,45_2022-01-01 13-30-31.mp4.jpeg
27,5480,965.879,01/01/2022,18:46:34.6,1049.110 ,225.558 ,115,225.558 ,913.999 ,9106.892 ,0.055 ,0.055 ,30.000 ,30.000 ,111.544 ,111.544 ,32.000 ,1017.793 ,1017.793 ,0.000 ,0.000 ,88.507 ,88.507 ,100.553 ,100.553 ,107.591 ,107.591 ,107.591 ,107.591 ,107.591 ,32.958 ,193.873 ,31.583 ,547.663 ,547.663 ,,46_2022-01-01 13-30-31.mp4.jpeg
28,5484,966.574,01/01/2022,18:46:35.3,1049.805 ,225.134 ,115,225.134 ,913.999 ,9106.892 ,0.054 ,0.054 ,30.000 ,30.000 ,111.404 ,111.404 ,32.000 ,1011.018 ,1011.018 ,0.000 ,0.000 ,88.064 ,88.064 ,100.549 ,100.549 ,107.587 ,107.587 ,107.587 ,107.587 ,107.587 ,32.957 ,193.866 ,30.283 ,543.899 ,543.899 ,,48_2022-01-01 13-30-31.mp4.jpeg
29,5487,967.105,01/01/2022,18:46:35.9,1050.336 ,224.739 ,114,224.739 ,913.999 ,9106.892 ,0.053 ,0.053 ,30.000 ,30.000 ,111.296 ,111.296 ,32.000 ,1005.925 ,1005.925 ,0.000 ,0.000 ,87.722 ,87.722 ,100.548 ,100.548 ,107.586 ,107.586 ,107.586 ,107.586 ,107.586 ,32.957 ,193.864 ,29.299 ,541.069 ,541.069 ,,50_2022-01-01 13-30-31.mp4.jpeg
30,5491,967.816,01/01/2022,18:46:36.6,1051.046 ,224.122 ,114,224.122 ,913.999 ,9106.892 ,0.051 ,0.051 ,30.000 ,30.000 ,111.152 ,111.152 ,32.000 ,999.297 ,999.297 ,0.000 ,0.000 ,87.267 ,87.267 ,100.544 ,100.544 ,107.582 ,107.582 ,107.582 ,107.582 ,107.582 ,32.956 ,193.856 ,28.024 ,537.387 ,537.387 ,,52_2022-01-01 13-30-31.mp4.jpeg
31,5493,968.164,01/01/2022,18:46:36.9,1051.395 ,223.784 ,114,223.784 ,913.999 ,9106.892 ,0.051 ,0.051 ,30.000 ,30.000 ,111.081 ,111.081 ,32.000 ,996.159 ,996.159 ,0.000 ,0.000 ,87.047 ,87.047 ,100.540 ,100.540 ,107.578 ,107.578 ,107.578 ,107.578 ,107.578 ,32.954 ,193.849 ,27.415 ,535.644 ,535.644 ,,53_2022-01-01 13-30-31.mp4.jpeg
32,5495,968.516,01/01/2022,18:46:37.3,1051.747 ,223.412 ,114,223.412 ,913.999 ,9106.892 ,0.050 ,0.050 ,30.000 ,30.000 ,111.009 ,111.009 ,32.000 ,992.990 ,992.990 ,0.000 ,0.000 ,86.822 ,86.822 ,100.536 ,100.536 ,107.573 ,107.573 ,107.573 ,107.573 ,107.573 ,32.953 ,193.840 ,26.813 ,533.884 ,533.884 ,,54_2022-01-01 13-30-31.mp4.jpeg
33,5497,968.874,01/01/2022,18:46:37.6,1052.104 ,223.016 ,114,223.016 ,913.999 ,9106.892 ,0.049 ,0.049 ,30.000 ,30.000 ,110.938 ,110.938 ,32.000 ,989.909 ,989.909 ,0.000 ,0.000 ,86.599 ,86.599 ,100.532 ,100.532 ,107.569 ,107.569 ,107.569 ,107.569 ,107.569 ,32.951 ,193.832 ,26.214 ,532.172 ,532.172 ,,55_2022-01-01 13-30-31.mp4.jpeg
34,5502,969.787,01/01/2022,18:46:38.6,1053.017 ,221.897 ,113,221.897 ,913.999 ,9106.892 ,0.048 ,0.048 ,30.000 ,30.000 ,110.755 ,110.755 ,32.000 ,982.202 ,982.202 ,0.000 ,0.000 ,86.028 ,86.028 ,100.527 ,100.527 ,107.564 ,107.564 ,107.564 ,107.564 ,107.564 ,32.950 ,193.825 ,24.707 ,527.890 ,527.890 ,,58_2022-01-01 13-30-31.mp4.jpeg
35,5504,970.145,01/01/2022,18:46:38.9,1053.375 ,221.412 ,113,221.412 ,913.999 ,9106.892 ,0.047 ,0.047 ,30.000 ,30.000 ,110.680 ,110.680 ,32.000 ,979.159 ,979.159 ,0.000 ,0.000 ,85.797 ,85.797 ,100.529 ,100.529 ,107.566 ,107.566 ,107.566 ,107.566 ,107.566 ,32.951 ,193.827 ,24.118 ,526.199 ,526.199 ,,35_2022-01-01 13-30-31.mp4.jpeg
36,5504,970.145,01/01/2022,18:46:38.9,1053.375 ,221.412 ,113,221.412 ,913.999 ,9106.892 ,0.047 ,0.047 ,30.000 ,30.000 ,110.680 ,110.680 ,32.000 ,979.159 ,979.159 ,0.000 ,0.000 ,85.797 ,85.797 ,100.529 ,100.529 ,107.566 ,107.566 ,107.566 ,107.566 ,107.566 ,32.951 ,193.827 ,24.118 ,526.199 ,526.199 ,,59_2022-01-01 13-30-31.mp4.jpeg
37,5506,970.508,01/01/2022,18:46:39.3,1053.738 ,220.902 ,113,220.902 ,913.999 ,9106.892 ,0.046 ,0.046 ,30.000 ,30.000 ,110.606 ,110.606 ,32.000 ,976.160 ,976.160 ,0.000 ,0.000 ,85.565 ,85.565 ,100.526 ,100.526 ,107.563 ,107.563 ,107.563 ,107.563 ,107.563 ,32.950 ,193.822 ,23.537 ,524.533 ,524.533 ,,60_2022-01-01 13-30-31.mp4.jpeg
38,5508,970.864,01/01/2022,18:46:39.6,1054.095 ,220.381 ,113,220.381 ,913.999 ,9106.892 ,0.046 ,0.046 ,30.000 ,30.000 ,110.533 ,110.533 ,32.000 ,973.287 ,973.287 ,0.000 ,0.000 ,85.340 ,85.340 ,100.523 ,100.523 ,107.559 ,107.559 ,107.559 ,107.559 ,107.559 ,32.949 ,193.815 ,22.972 ,522.938 ,522.938 ,,61_2022-01-01 13-30-31.mp4.jpeg
39,5519,972.819,01/01/2022,18:46:41.6,1056.049 ,217.173 ,111,217.173 ,913.999 ,9106.892 ,0.043 ,0.043 ,30.000 ,30.000 ,110.137 ,110.137 ,32.000 ,958.545 ,958.545 ,0.000 ,0.000 ,84.125 ,84.125 ,100.496 ,100.496 ,107.531 ,107.531 ,107.531 ,107.531 ,107.531 ,32.940 ,193.763 ,20.084 ,514.747 ,514.747 ,,67_2022-01-01 13-30-31.mp4.jpeg
40,5521,973.179,01/01/2022,18:46:41.9,1056.409 ,216.516 ,111,216.516 ,913.999 ,9106.892 ,0.042 ,0.042 ,30.000 ,30.000 ,110.067 ,110.067 ,32.000 ,956.086 ,956.086 ,0.000 ,0.000 ,83.911 ,83.911 ,100.488 ,100.488 ,107.522 ,107.522 ,107.522 ,107.522 ,107.522 ,32.937 ,193.747 ,19.601 ,513.381 ,513.381 ,,68_2022-01-01 13-30-31.mp4.jpeg
41,5523,973.540,01/01/2022,18:46:42.3,1056.771 ,215.846 ,110,215.846 ,913.999 ,9106.892 ,0.042 ,0.042 ,30.000 ,30.000 ,109.999 ,109.999 ,32.000 ,953.740 ,953.740 ,0.000 ,0.000 ,83.704 ,83.704 ,100.475 ,100.475 ,107.509 ,107.509 ,107.509 ,107.509 ,107.509 ,32.933 ,193.722 ,19.149 ,512.078 ,512.078 ,,69_2022-01-01 13-30-31.mp4.jpeg
42,5532,975.140,01/01/2022,18:46:43.9,1058.371 ,212.763 ,109,212.763 ,913.999 ,9106.892 ,0.040 ,0.040 ,30.000 ,30.000 ,109.774 ,109.774 ,32.000 ,946.585 ,946.585 ,0.000 ,0.000 ,83.023 ,83.023 ,100.289 ,100.289 ,107.309 ,107.309 ,107.309 ,107.309 ,107.309 ,32.871 ,193.358 ,17.850 ,508.103 ,508.103 ,,74_2022-01-01 13-30-31.mp4.jpeg
43,5534,975.502,01/01/2022,18:46:44.3,1058.733 ,212.066 ,109,212.066 ,913.999 ,9106.892 ,0.040 ,0.040 ,30.000 ,30.000 ,109.758 ,109.758 ,32.000 ,946.252 ,946.252 ,0.000 ,0.000 ,82.975 ,82.975 ,100.207 ,100.207 ,107.221 ,107.221 ,107.221 ,107.221 ,107.221 ,32.844 ,193.199 ,17.800 ,507.918 ,507.918 ,,75_2022-01-01 13-30-31.mp4.jpeg
44,5536,975.862,01/01/2022,18:46:44.6,1059.092 ,211.390 ,108,211.390 ,913.999 ,9106.892 ,0.040 ,0.040 ,30.000 ,30.000 ,109.758 ,109.758 ,32.000 ,946.470 ,946.470 ,0.000 ,0.000 ,82.977 ,82.977 ,100.119 ,100.119 ,107.127 ,107.127 ,107.127 ,107.127 ,107.127 ,32.815 ,193.029 ,17.854 ,508.039 ,508.039 ,,76_2022-01-01 13-30-31.mp4.jpeg
45,5540,976.574,01/01/2022,18:46:45.3,1059.805 ,210.063 ,108,210.063 ,913.999 ,9106.892 ,0.040 ,0.040 ,30.000 ,30.000 ,109.800 ,109.800 ,32.000 ,948.229 ,948.229 ,0.000 ,0.000 ,83.105 ,83.105 ,99.955 ,99.955 ,106.952 ,106.952 ,106.952 ,106.952 ,106.952 ,32.761 ,192.714 ,18.182 ,509.016 ,509.016 ,,78_2022-01-01 13-30-31.mp4.jpeg
46,5543,977.121,01/01/2022,18:46:45.9,1060.351 ,209.085 ,107,209.085 ,913.999 ,9106.892 ,0.041 ,0.041 ,30.000 ,30.000 ,109.869 ,109.869 ,32.000 ,950.745 ,950.745 ,0.000 ,0.000 ,83.313 ,83.313 ,99.864 ,99.864 ,106.854 ,106.854 ,106.854 ,106.854 ,106.854 ,32.732 ,192.541 ,18.646 ,510.414 ,510.414 ,,80_2022-01-01 13-30-31.mp4.jpeg
47,5547,977.847,01/01/2022,18:46:46.6,1061.078 ,207.862 ,106,207.862 ,913.999 ,9106.892 ,0.042 ,0.042 ,30.000 ,30.000 ,110.000 ,110.000 ,32.000 ,955.401 ,955.401 ,0.000 ,0.000 ,83.715 ,83.715 ,99.799 ,99.799 ,106.784 ,106.784 ,106.784 ,106.784 ,106.784 ,32.711 ,192.417 ,19.518 ,513.001 ,513.001 ,,82_2022-01-01 13-30-31.mp4.jpeg
48,5551,978.555,01/01/2022,18:46:47.3,1061.786 ,206.783 ,106,206.783 ,913.999 ,9106.892 ,0.043 ,0.043 ,30.000 ,30.000 ,110.154 ,110.154 ,32.000 ,960.758 ,960.758 ,0.000 ,0.000 ,84.183 ,84.183 ,99.760 ,99.760 ,106.743 ,106.743 ,106.743 ,106.743 ,106.743 ,32.698 ,192.344 ,20.593 ,515.977 ,515.977 ,,84_2022-01-01 13-30-31.mp4.jpeg
49,5554,979.096,01/01/2022,18:46:47.9,1062.326 ,206.053 ,105,206.053 ,913.999 ,9106.892 ,0.044 ,0.044 ,30.000 ,30.000 ,110.287 ,110.287 ,32.000 ,965.513 ,965.513 ,0.000 ,0.000 ,84.593 ,84.593 ,99.722 ,99.722 ,106.702 ,106.702 ,106.702 ,106.702 ,106.702 ,32.686 ,192.268 ,21.583 ,518.618 ,518.618 ,,86_2022-01-01 13-30-31.mp4.jpeg
50,5558,979.812,01/01/2022,18:46:48.6,1063.043 ,205.224 ,105,205.224 ,913.999 ,9106.892 ,0.046 ,0.046 ,30.000 ,30.000 ,110.494 ,110.494 ,32.000 ,973.087 ,973.087 ,0.000 ,0.000 ,85.228 ,85.228 ,99.677 ,99.677 ,106.654 ,106.654 ,106.654 ,106.654 ,106.654 ,32.671 ,192.183 ,23.099 ,522.826 ,522.826 ,,88_2022-01-01 13-30-31.mp4.jpeg
51,5562,980.541,01/01/2022,18:46:49.3,1063.772 ,204.545 ,104,204.545 ,913.999 ,9106.892 ,0.047 ,0.047 ,30.000 ,30.000 ,110.706 ,110.706 ,32.000 ,981.135 ,981.135 ,0.000 ,0.000 ,85.885 ,85.885 ,99.685 ,99.685 ,106.663 ,106.663 ,106.663 ,106.663 ,106.663 ,32.674 ,192.202 ,24.692 ,527.297 ,527.297 ,,90_2022-01-01 13-30-31.mp4.jpeg
52,5575,982.813,01/01/2022,18:46:51.6,1066.043 ,203.495 ,103,203.495 ,913.999 ,9106.892 ,0.052 ,0.052 ,30.000 ,30.000 ,111.263 ,111.263 ,32.000 ,1004.092 ,1004.092 ,0.000 ,0.000 ,87.627 ,87.627 ,99.705 ,99.705 ,106.685 ,106.685 ,106.685 ,106.685 ,106.685 ,32.681 ,192.238 ,29.366 ,540.051 ,540.051 ,,97_2022-01-01 13-30-31.mp4.jpeg
53,5577,983.168,01/01/2022,18:46:51.9,1066.399 ,203.476 ,103,203.476 ,913.999 ,9106.892 ,0.053 ,0.053 ,30.000 ,30.000 ,111.354 ,111.354 ,32.000 ,1008.140 ,1008.140 ,0.000 ,0.000 ,87.914 ,87.914 ,99.704 ,99.704 ,106.683 ,106.683 ,106.683 ,106.683 ,106.683 ,32.680 ,192.237 ,30.150 ,542.300 ,542.300 ,,98_2022-01-01 13-30-31.mp4.jpeg
54,5579,983.526,01/01/2022,18:46:52.3,1066.757 ,203.492 ,103,203.492 ,913.999 ,9106.892 ,0.054 ,0.054 ,30.000 ,30.000 ,111.443 ,111.443 ,32.000 ,1012.189 ,1012.189 ,0.000 ,0.000 ,88.195 ,88.195 ,99.710 ,99.710 ,106.689 ,106.689 ,106.689 ,106.689 ,106.689 ,32.682 ,192.248 ,30.952 ,544.550 ,544.550 ,,99_2022-01-01 13-30-31.mp4.jpeg
55,5581,983.879,01/01/2022,18:46:52.6,1067.109 ,203.545 ,103,203.545 ,913.999 ,9106.892 ,0.055 ,0.055 ,30.000 ,30.000 ,111.527 ,111.527 ,32.000 ,1016.087 ,1016.087 ,0.000 ,0.000 ,88.460 ,88.460 ,99.720 ,99.720 ,106.700 ,106.700 ,106.700 ,106.700 ,106.700 ,32.686 ,192.269 ,31.713 ,546.715 ,546.715 ,,100_2022-01-01 13-30-31.mp4.jpeg
